Từ tiếng Việt,Sắc thái/Nhóm,Nghĩa tiếng Anh
hiệu quả,Tích cực,Effective
phù hợp,Tích cực,Suitable
chất lượng cao,Tích cực,High quality
dẫn đầu,Tích cực,Leading
linh hoạt,Tích cực,Flexible
chủ lực,Tích cực,Core/pillar
vững mạnh,Tích cực,Strong/healthy
an toàn,Tích cực,Safe/secure
bền vững,Tích cực,Sustainable
đột phá,Tích cực,Breakthrough
uy tín,Tích cực,Reputable
niềm tin,Tích cực,Trust/confidence
tiên phong,Tích cực,Pioneering/advanced
hiện đại,Tích cực,Modern
tinh gọn,Tích cực,Lean
chuyên nghiệp,Tích cực,Professional
minh bạch,Tích cực,Transparent
quyết tâm,Tích cực,Determined
năng động,Tích cực,Dynamic
tự hào,Tích cực,Proud
nhiệt huyết,Tích cực,Passionate
yêu thích,Tích cực,Love/Like
hài lòng,Tích cực,Satisfied
vui sướng,Tích cực,Joyful/Delighted
hạnh phúc,Tích cực,Happy
tin tưởng,Tích cực,Trustful
ngưỡng mộ,Tích cực,Admire
cảm kích,Tích cực,Grateful
lạc quan,Tích cực,Optimistic
an tâm,Tích cực,Reassured
thân thiện,Tích cực,Friendly
mến khách,Tích cực,Hospitable
hào hứng,Tích cực,Excited
phấn khởi,Tích cực,Elated
may mắn,Tích cực,Lucky/Fortunate
vinh dự,Tích cực,Honored
tuyệt vời,Tích cực,Wonderful/Excellent
xuất sắc,Tích cực,Outstanding
hoàn hảo,Tích cực,Perfect
thỏa mãn,Tích cực,Contented/Satisfied
yêu mến,Tích cực,Beloved
trân trọng,Tích cực,Appreciative
kính trọng,Tích cực,Respectful
khâm phục,Tích cực,Admirable
ấm áp,Tích cực,Warm
bình yên,Tích cực,Peaceful
vui vẻ,Tích cực,Cheerful
ngập tràn niềm vui,Tích cực,Joyous
khấp khởi,Tích cực,Expectantly joyful
hân hoan,Tích cực,Jubilant
rạng rỡ,Tích cực,Radiant
sáng tạo,Tích cực,Creative
đổi mới,Tích cực,Innovative
kiên trì,Tích cực,Persistent
bền bỉ,Tích cực,Resilient
quyết liệt,Tích cực,Drastic/Fierce
chủ động,Tích cực,Proactive
tự xin,Tích cực,Confident
tự tin,Tích cực,Confident
dũng cảm,Tích cực,Brave/Courageous
kiên cường,Tích cực,Indomitable
nỗ lực,Tích cực,Effort/Striving
cố gắng,Tích cực,Trying/Endeavoring
hết mình,Tích cực,Wholehearted
tận tâm,Tích cực,Dedicated
chu đáo,Tích cực,Thoughtful/Attentive
sẵn sàng,Tích cực,Ready/Willing
hăng hái,Tích cực,Enthusiastic
sôi nổi,Tích cực,Lively/Vibrant
tự lực,Tích cực,Self-reliant
bứt phá,Tích cực,Breaking through
kiên định,Tích cực,Steadfast
tràn đầy năng lượng,Tích cực,Energetic
sục sôi,Tích cực,Seething/Burning
đồng lòng,Tích cực,Unanimous
nhất trí,Tích cực,Agreed/Consensus
chung sức,Tích cực,Joining forces
vượt trội,Tích cực,Superior
tối ưu,Tích cực,Optimal
bứt tốc,Tích cực,Accelerating
thuận lợi,Tích cực,Favorable
tiềm năng,Tích cực,Potential
phồn vinh,Tích cực,Prosperous
thịnh vượng,Tích cực,Wealthy/Prosperous
khởi sắc,Tích cực,Flourishing/Improving
thăng tiến,Tích cực,Advancing
phát triển,Tích cực,Developing
mở rộng,Tích cực,Expanding
vững chắc,Tích cực,Solid/Firm
chính xác,Tích cực,Accurate
nhanh chóng,Tích cực,Rapid/Quick
kịp thời,Tích cực,Timely
nhạy bén,Tích cực,Sharp/Agile
lạc hậu,Tiêu cực,Obsolete
khó khăn,Tiêu cực,Difficult
rủi ro,Tiêu cực,Risk
lệ thuộc,Tiêu cực,Dependent
vướng mắc,Tiêu cực,Obstacle
suy giảm,Tiêu cực,Decline
hạn chế,Tiêu cực,Limited/limitation
chậm,Tiêu cực,Slow/delayed
tồn tại,Tiêu cực,Shortcoming
tiêu cực,Tiêu cực,Negative/serious
phức tạp,Tiêu cực,Complex/unpredictable
bão hòa,Tiêu cực,Saturated
bất ổn,Tiêu cực,Unstable/uncertain
cạnh tranh gay gắt,Tiêu cực,Fierce competition
áp lực,Tiêu cực,Pressure
buồn bã,Tiêu cực,Sad/Melancholy
đau khổ,Tiêu cực,Suffering/Miserable
thất vọng,Tiêu cực,Disappointed
chán nản,Tiêu cực,Depressed/Bored
tuyệt vọng,Tiêu cực,Hopeless/Desperate
đau lòng,Tiêu cực,Heartbroken
suy sụp,Tiêu cực,Devastated/Collapsed
hối hận,Tiêu cực,Regretful
tiếc nuối,Tiêu cực,Regretful/Resentful
tủi thân,Tiêu cực,Feeling self-pity
cô đơn,Tiêu cực,Lonely
lạc lõng,Tiêu cực,Lost/Out of place
bi quan,Tiêu cực,Pessimistic
đau đớn,Tiêu cực,Painful
xót xa,Tiêu cực,Heart-wrenching
ngậm ngùi,Tiêu cực,Sorrowful
não nề,Tiêu cực,Dreary/Doleful
ủ rũ,Tiêu cực,Gloomy/Sulky
sầu muộn,Tiêu cực,Melancholic
bi ai,Tiêu cực,Tragic/Sorrowful
tức giận,Tiêu cực,Angry
phẫn nộ,Tiêu cực,Outraged/Indignant
bực mình,Tiêu cực,Annoyed/Irritated
khó chịu,Tiêu cực,Uncomfortable/Annoyed
uất ức,Tiêu cực,Resentful/Aggrieved
ghen tị,Tiêu cực,Jealous/Envious
đố kỵ,Tiêu cực,Envious
thù hận,Tiêu cực,Hateful
căm ghét,Tiêu cực,Detest/Loathe
ác cảm,Tiêu cực,Antipathy
bất mãn,Tiêu cực,Dissatisfied/Discontented
gắt gỏng,Tiêu cực,Grumpy/Snappy
điên tiết,Tiêu cực,Infuriated
hậm hực,Tiêu cực,Disgruntled
cau có,Tiêu cực,Frowning/Cross
hằn học,Tiêu cực,Spiteful
lo lắng,Tiêu cực,Anxious/Worried
sợ hãi,Tiêu cực,Afraid/Scared
kinh hoàng,Tiêu cực,Terrified/Horrified
hoang mang,Tiêu cực,Bewildered/Confused
bất an,Tiêu cực,Insecure/Anxious
hoảng loạn,Tiêu cực,Panicked
lo âu,Tiêu cực,Apprehensive
bối rối,Tiêu cực,Embarrassed/Confused
e ngại,Tiêu cực,Hesitant/Apprehensive
ngần ngại,Tiêu cực,Reluctant
nhút nhát,Tiêu cực,Timid/Shy
hoài nghi,Tiêu cực,Skeptical/Suspicious
nghi ngờ,Tiêu cực,Suspicious
phấp phỏng,Tiêu cực,Anxiously anticipating
bồn chồn,Tiêu cực,Restless/Fidgety
yếu kém,Tiêu cực,Poor/Weak
trì trệ,Tiêu cực,Stagnant
thua lỗ,Tiêu cực,Loss-making
lãng phí,Tiêu cực,Wasteful
thiếu hụt,Tiêu cực,Deficit/Shortage
bất cập,Tiêu cực,Inadequate/Shortcoming
manh mún,Tiêu cực,Fragmented
chắp vá,Tiêu cực,Patchy/Makeshift
kém chất lượng,Tiêu cực,Low quality
rườm rà,Tiêu cực,Redundant/Cumbersome
chậm chạp,Tiêu cực,Sluggish/Slow
tắc nghẽn,Tiêu cực,Congested/Blocked
khủng hoảng,Tiêu cực,Crisis
suy thoái,Tiêu cực,Recession
bất ổn định,Tiêu cực,Unstable
thiếu minh bạch,Tiêu cực,Non-transparent
thiếu thốn,Tiêu cực,Deprived/Scanty
nghèo nàn,Tiêu cực,Poor/Meager
xuống cấp,Tiêu cực,Degraded
hư hỏng,Tiêu cực,Damaged
then chốt,Trung tính,Crucial/important
trọng tâm,Trung tính,Key/focal
đồng bộ,Trung tính,Synchronized
thiết yếu,Trung tính,Essential
mong đợi,Trung tính,Awaiting/Looking forward to
kỳ vọng,Trung tính,Aspiration/expectation
ngóng trông,Trung tính,Longing for
bình thường,Trung tính,Normal/average
ổn định,Trung tính,Stable
thỏa đáng,Trung tính,Satisfactory
đánh kể,Trung tính,Significant
đặc biệt,Trung tính,Special
chú ý,Trung tính,Noticeable
ngạc nhiên,Trung tính,Surprised
ngỡ ngàng,Trung tính,Astonished
sửng sốt,Trung tính,Shocked/Stunned
tò mò,Trung tính,Curious
bâng khuâng,Trung tính,Melancholic/Pensive
trầm tư,Trung tính,Contemplative
lưỡng lự,Trung tính,Hesitant
thử thách,Trung tính,Challenging
đắn đo,Trung tính,Hesitant/Pondering
chập chờn,Trung tính,Unstable/Flickering
không hiệu quả,Tiêu cực,Not effective
không phù hợp,Tiêu cực,Not suitable
không chất lượng cao,Tiêu cực,Not high quality
không dẫn đầu,Tiêu cực,Not leading
không linh hoạt,Tiêu cực,Not flexible
không chủ lực,Tiêu cực,Not core/pillar
không vững mạnh,Tiêu cực,Not strong/healthy
không an toàn,Tiêu cực,Not safe/secure
không bền vững,Tiêu cực,Not sustainable
không đột phá,Tiêu cực,Not breakthrough
không uy tín,Tiêu cực,Not reputable
không niềm tin,Tiêu cực,Not trust/confidence
không tiên phong,Tiêu cực,Not pioneering/advanced
không hiện đại,Tiêu cực,Not modern
không tinh gọn,Tiêu cực,Not lean
không chuyên nghiệp,Tiêu cực,Not professional
không minh bạch,Tiêu cực,Not transparent
không quyết tâm,Tiêu cực,Not determined
không năng động,Tiêu cực,Not dynamic
không tự hào,Tiêu cực,Not proud
không nhiệt huyết,Tiêu cực,Not passionate
không yêu thích,Tiêu cực,Not love/like
không hài lòng,Tiêu cực,Not satisfied
không vui sướng,Tiêu cực,Not joyful/delighted
không hạnh phúc,Tiêu cực,Not happy
không tin tưởng,Tiêu cực,Not trustful
không ngưỡng mộ,Tiêu cực,Not admire
không cảm kích,Tiêu cực,Not grateful
không lạc quan,Tiêu cực,Not optimistic
không an tâm,Tiêu cực,Not reassured
không thân thiện,Tiêu cực,Not friendly
không mến khách,Tiêu cực,Not hospitable
không hào hứng,Tiêu cực,Not excited
không phấn khởi,Tiêu cực,Not elated
không may mắn,Tiêu cực,Not lucky/fortunate
không vinh dự,Tiêu cực,Not honored
không tuyệt vời,Tiêu cực,Not wonderful/excellent
không xuất sắc,Tiêu cực,Not outstanding
không hoàn hảo,Tiêu cực,Not perfect
không thỏa mãn,Tiêu cực,Not contented/satisfied
không yêu mến,Tiêu cực,Not beloved
không trân trọng,Tiêu cực,Not appreciative
không kính trọng,Tiêu cực,Not respectful
không khâm phục,Tiêu cực,Not admirable
không ấm áp,Tiêu cực,Not warm
không bình yên,Tiêu cực,Not peaceful
không vui vẻ,Tiêu cực,Not cheerful
